PassengerId;Survived;Pclass;Sex;Age;SibSp;Parch;Fare;Embarked
164;0;3;1;17.0;0;0;8.6625;2
165;0;3;1;1.0;4;1;39.6875;2
166;1;3;1;9.0;0;2;20.525;2
168;0;3;0;45.0;1;4;27.9;2
170;0;3;1;28.0;0;0;56.4958;2
171;0;1;1;61.0;0;0;33.5;2
172;0;3;1;4.0;4;1;29.125;1
173;1;3;0;1.0;1;1;11.1333;2
174;0;3;1;21.0;0;0;7.925;2
175;0;1;1;56.0;0;0;30.6958;0
176;0;3;1;18.0;1;1;7.8542;2
178;0;1;0;50.0;0;0;28.7125;0
179;0;2;1;30.0;0;0;13.0;2
180;0;3;1;36.0;0;0;0.0;2
183;0;3;1;9.0;4;2;31.3875;2
184;1;2;1;1.0;2;1;39.0;2
185;1;3;0;4.0;0;2;22.025;2
188;1;1;1;45.0;0;0;26.55;2
189;0;3;1;40.0;1;1;15.5;1
190;0;3;1;36.0;0;0;7.8958;2
191;1;2;0;32.0;0;0;13.0;2
192;0;2;1;19.0;0;0;13.0;2
193;1;3;0;19.0;1;0;7.8542;2
194;1;2;1;3.0;1;1;26.0;2
195;1;1;0;44.0;0;0;27.7208;0
196;1;1;0;58.0;0;0;146.5208;0
198;0;3;1;42.0;0;1;8.4042;2
200;0;2;0;24.0;0;0;13.0;2
201;0;3;1;28.0;0;0;9.5;2
203;0;3;1;34.0;0;0;6.4958;2
204;0;3;1;45.5;0;0;7.225;0
205;1;3;1;18.0;0;0;8.05;2
206;0;3;0;2.0;0;1;10.4625;2
207;0;3;1;32.0;1;0;15.85;2
208;1;3;1;26.0;0;0;18.7875;0
209;1;3;0;16.0;0;0;7.75;1
210;1;1;1;40.0;0;0;31.0;0
211;0;3;1;24.0;0;0;7.05;2
212;1;2;0;35.0;0;0;21.0;2
213;0;3;1;22.0;0;0;7.25;2
214;0;2;1;30.0;0;0;13.0;2
216;1;1;0;31.0;1;0;113.275;0
217;1;3;0;27.0;0;0;7.925;2
218;0;2;1;42.0;1;0;27.0;2
219;1;1;0;32.0;0;0;76.2917;0
220;0;2;1;30.0;0;0;10.5;2
221;1;3;1;16.0;0;0;8.05;2
222;0;2;1;27.0;0;0;13.0;2
223;0;3;1;51.0;0;0;8.05;2
225;1;1;1;38.0;1;0;90.0;2
226;0;3;1;22.0;0;0;9.35;2
227;1;2;1;19.0;0;0;10.5;2
228;0;3;1;20.5;0;0;7.25;2
229;0;2;1;18.0;0;0;13.0;2
231;1;1;0;35.0;1;0;83.475;2
232;0;3;1;29.0;0;0;7.775;2
233;0;2;1;59.0;0;0;13.5;2
234;1;3;0;5.0;4;2;31.3875;2
235;0;2;1;24.0;0;0;10.5;2
237;0;2;1;44.0;1;0;26.0;2
238;1;2;0;8.0;0;2;26.25;2
239;0;2;1;19.0;0;0;10.5;2
240;0;2;1;33.0;0;0;12.275;2
243;0;2;1;29.0;0;0;10.5;2
244;0;3;1;22.0;0;0;7.125;2
245;0;3;1;30.0;0;0;7.225;0
246;0;1;1;44.0;2;0;90.0;1
247;0;3;0;25.0;0;0;7.775;2
248;1;2;0;24.0;0;2;14.5;2
249;1;1;1;37.0;1;1;52.5542;2
250;0;2;1;54.0;1;0;26.0;2
252;0;3;0;29.0;1;1;10.4625;2
253;0;1;1;62.0;0;0;26.55;2
254;0;3;1;30.0;1;0;16.1;2
255;0;3;0;41.0;0;2;20.2125;2
256;1;3;0;29.0;0;2;15.2458;0
258;1;1;0;30.0;0;0;86.5;2
259;1;1;0;35.0;0;0;512.3292;0
260;1;2;0;50.0;0;1;26.0;2
262;1;3;1;3.0;4;2;31.3875;2
263;0;1;1;52.0;1;1;79.65;2
264;0;1;1;40.0;0;0;0.0;2
266;0;2;1;36.0;0;0;10.5;2
267;0;3;1;16.0;4;1;39.6875;2
268;1;3;1;25.0;1;0;7.775;2
269;1;1;0;58.0;0;1;153.4625;2
270;1;1;0;35.0;0;0;135.6333;2
272;1;3;1;25.0;0;0;0.0;2
273;1;2;0;41.0;0;1;19.5;2
274;0;1;1;37.0;0;1;29.7;0
276;1;1;0;63.0;1;0;77.9583;2
277;0;3;0;45.0;0;0;7.75;2
279;0;3;1;7.0;4;1;29.125;1
280;1;3;0;35.0;1;1;20.25;2
281;0;3;1;65.0;0;0;7.75;1
282;0;3;1;28.0;0;0;7.8542;2
283;0;3;1;16.0;0;0;9.5;2
284;1;3;1;19.0;0;0;8.05;2
286;0;3;1;33.0;0;0;8.6625;0
287;1;3;1;30.0;0;0;9.5;2
288;0;3;1;22.0;0;0;7.8958;2
289;1;2;1;42.0;0;0;13.0;2
290;1;3;0;22.0;0;0;7.75;1
291;1;1;0;26.0;0;0;78.85;2
292;1;1;0;19.0;1;0;91.0792;0
293;0;2;1;36.0;0;0;12.875;0
294;0;3;0;24.0;0;0;8.85;2
295;0;3;1;24.0;0;0;7.8958;2
297;0;3;1;23.5;0;0;7.2292;0
298;0;1;0;2.0;1;2;151.55;2
300;1;1;0;50.0;0;1;247.5208;0
303;0;3;1;19.0;0;0;0.0;2
306;1;1;1;0.92;1;2;151.55;2
308;1;1;0;17.0;1;0;108.9;0
309;0;2;1;30.0;1;0;24.0;0
310;1;1;0;30.0;0;0;56.9292;0
311;1;1;0;24.0;0;0;83.1583;0
312;1;1;0;18.0;2;2;262.375;0
313;0;2;0;26.0;1;1;26.0;2
314;0;3;1;28.0;0;0;7.8958;2
315;0;2;1;43.0;1;1;26.25;2
316;1;3;0;26.0;0;0;7.8542;2
317;1;2;0;24.0;1;0;26.0;2
318;0;2;1;54.0;0;0;14.0;2
319;1;1;0;31.0;0;2;164.8667;2
320;1;1;0;40.0;1;1;134.5;0
321;0;3;1;22.0;0;0;7.25;2
322;0;3;1;27.0;0;0;7.8958;2
323;1;2;0;30.0;0;0;12.35;1
324;1;2;0;22.0;1;1;29.0;2
326;1;1;0;36.0;0;0;135.6333;0
327;0;3;1;61.0;0;0;6.2375;2
328;1;2;0;36.0;0;0;13.0;2
329;1;3;0;31.0;1;1;20.525;2
330;1;1;0;16.0;0;1;57.9792;0
332;0;1;1;45.5;0;0;28.5;2
333;0;1;1;38.0;0;1;153.4625;2
334;0;3;1;16.0;2;0;18.0;2
337;0;1;1;29.0;1;0;66.6;2
338;1;1;0;41.0;0;0;134.5;0
339;1;3;1;45.0;0;0;8.05;2
340;0;1;1;45.0;0;0;35.5;2
341;1;2;1;2.0;1;1;26.0;2
342;1;1;0;24.0;3;2;263.0;2
343;0;2;1;28.0;0;0;13.0;2
344;0;2;1;25.0;0;0;13.0;2
345;0;2;1;36.0;0;0;13.0;2
346;1;2;0;24.0;0;0;13.0;2
347;1;2;0;40.0;0;0;13.0;2
349;1;3;1;3.0;1;1;15.9;2
350;0;3;1;42.0;0;0;8.6625;2
351;0;3;1;23.0;0;0;9.225;2
353;0;3;1;15.0;1;1;7.2292;0
354;0;3;1;25.0;1;0;17.8;2
356;0;3;1;28.0;0;0;9.5;2
357;1;1;0;22.0;0;1;55.0;2
358;0;2;0;38.0;0;0;13.0;2
361;0;3;1;40.0;1;4;27.9;2
362;0;2;1;29.0;1;0;27.7208;0
363;0;3;0;45.0;0;1;14.4542;0
364;0;3;1;35.0;0;0;7.05;2
366;0;3;1;30.0;0;0;7.25;2
367;1;1;0;60.0;1;0;75.25;0
370;1;1;0;24.0;0;0;69.3;0
371;1;1;1;25.0;1;0;55.4417;0
372;0;3;1;18.0;1;0;6.4958;2
373;0;3;1;19.0;0;0;8.05;2
374;0;1;1;22.0;0;0;135.6333;0
375;0;3;0;3.0;3;1;21.075;2
377;1;3;0;22.0;0;0;7.25;2
378;0;1;1;27.0;0;2;211.5;0
379;0;3;1;20.0;0;0;4.0125;0
380;0;3;1;19.0;0;0;7.775;2
381;1;1;0;42.0;0;0;227.525;0
382;1;3;0;1.0;0;2;15.7417;0
383;0;3;1;32.0;0;0;7.925;2
384;1;1;0;35.0;1;0;52.0;2
386;0;2;1;18.0;0;0;73.5;2
387;0;3;1;1.0;5;2;46.9;2
388;1;2;0;36.0;0;0;13.0;2
390;1;2;0;17.0;0;0;12.0;0
391;1;1;1;36.0;1;2;120.0;2
392;1;3;1;21.0;0;0;7.7958;2
393;0;3;1;28.0;2;0;7.925;2
394;1;1;0;23.0;1;0;113.275;0
395;1;3;0;24.0;0;2;16.7;2
396;0;3;1;22.0;0;0;7.7958;2
397;0;3;0;31.0;0;0;7.8542;2
398;0;2;1;46.0;0;0;26.0;2
399;0;2;1;23.0;0;0;10.5;2
400;1;2;0;28.0;0;0;12.65;2
401;1;3;1;39.0;0;0;7.925;2
402;0;3;1;26.0;0;0;8.05;2
403;0;3;0;21.0;1;0;9.825;2
404;0;3;1;28.0;1;0;15.85;2
405;0;3;0;20.0;0;0;8.6625;2
406;0;2;1;34.0;1;0;21.0;2
407;0;3;1;51.0;0;0;7.75;2
408;1;2;1;3.0;1;1;18.75;2
409;0;3;1;21.0;0;0;7.775;2
413;1;1;0;33.0;1;0;90.0;1
415;1;3;1;44.0;0;0;7.925;2
417;1;2;0;34.0;1;1;32.5;2
418;1;2;0;18.0;0;2;13.0;2
419;0;2;1;30.0;0;0;13.0;2
420;0;3;0;10.0;0;2;24.15;2
422;0;3;1;21.0;0;0;7.7333;1
423;0;3;1;29.0;0;0;7.875;2
424;0;3;0;28.0;1;1;14.4;2
425;0;3;1;18.0;1;1;20.2125;2
427;1;2;0;28.0;1;0;26.0;2
428;1;2;0;19.0;0;0;26.0;2
430;1;3;1;32.0;0;0;8.05;2
431;1;1;1;28.0;0;0;26.55;2
433;1;2;0;42.0;1;0;26.0;2
434;0;3;1;17.0;0;0;7.125;2
435;0;1;1;50.0;1;0;55.9;2
436;1;1;0;14.0;1;2;120.0;2
437;0;3;0;21.0;2;2;34.375;2
438;1;2;0;24.0;2;3;18.75;2
439;0;1;1;64.0;1;4;263.0;2
440;0;2;1;31.0;0;0;10.5;2
441;1;2;0;45.0;1;1;26.25;2
442;0;3;1;20.0;0;0;9.5;2
443;0;3;1;25.0;1;0;7.775;2
444;1;2;0;28.0;0;0;13.0;2
446;1;1;1;4.0;0;2;81.8583;2
447;1;2;0;13.0;0;1;19.5;2
448;1;1;1;34.0;0;0;26.55;2
449;1;3;0;5.0;2;1;19.2583;0
450;1;1;1;52.0;0;0;30.5;2
451;0;2;1;36.0;1;2;27.75;2
453;0;1;1;30.0;0;0;27.75;0
454;1;1;1;49.0;1;0;89.1042;0
456;1;3;1;29.0;0;0;7.8958;0
457;0;1;1;65.0;0;0;26.55;2
459;1;2;0;50.0;0;0;10.5;2
461;1;1;1;48.0;0;0;26.55;2
462;0;3;1;34.0;0;0;8.05;2
463;0;1;1;47.0;0;0;38.5;2
464;0;2;1;48.0;0;0;13.0;2
466;0;3;1;38.0;0;0;7.05;2
468;0;1;1;56.0;0;0;26.55;2
470;1;3;0;0.75;2;1;19.2583;0
472;0;3;1;38.0;0;0;8.6625;2
473;1;2;0;33.0;1;2;27.75;2
474;1;2;0;23.0;0;0;13.7917;0
475;0;3;0;22.0;0;0;9.8375;2
477;0;2;1;34.0;1;0;21.0;2
478;0;3;1;29.0;1;0;7.0458;2
479;0;3;1;22.0;0;0;7.5208;2
480;1;3;0;2.0;0;1;12.2875;2
481;0;3;1;9.0;5;2;46.9;2
483;0;3;1;50.0;0;0;8.05;2
484;1;3;0;63.0;0;0;9.5875;2
485;1;1;1;25.0;1;0;91.0792;0
487;1;1;0;35.0;1;0;90.0;2
488;0;1;1;58.0;0;0;29.7;0
489;0;3;1;30.0;0;0;8.05;2
490;1;3;1;9.0;1;1;15.9;2
492;0;3;1;21.0;0;0;7.25;2
493;0;1;1;55.0;0;0;30.5;2
494;0;1;1;71.0;0;0;49.5042;0
495;0;3;1;21.0;0;0;8.05;2
497;1;1;0;54.0;1;0;78.2667;0
499;0;1;0;25.0;1;2;151.55;2
500;0;3;1;24.0;0;0;7.7958;2
501;0;3;1;17.0;0;0;8.6625;2
502;0;3;0;21.0;0;0;7.75;1
504;0;3;0;37.0;0;0;9.5875;2
505;1;1;0;16.0;0;0;86.5;2
506;0;1;1;18.0;1;0;108.9;0
507;1;2;0;33.0;0;2;26.0;2
509;0;3;1;28.0;0;0;22.525;2
510;1;3;1;26.0;0;0;56.4958;2
511;1;3;1;29.0;0;0;7.75;1
513;1;1;1;36.0;0;0;26.2875;2
514;1;1;0;54.0;1;0;59.4;0
515;0;3;1;24.0;0;0;7.4958;2
516;0;1;1;47.0;0;0;34.0208;2
517;1;2;0;34.0;0;0;10.5;2
519;1;2;0;36.0;1;0;26.0;2
520;0;3;1;32.0;0;0;7.8958;2
521;1;1;0;30.0;0;0;93.5;2
522;0;3;1;22.0;0;0;7.8958;2
524;1;1;0;44.0;0;1;57.9792;0
526;0;3;1;40.5;0;0;7.75;1
527;1;2;0;50.0;0;0;10.5;2
529;0;3;1;39.0;0;0;7.925;2
530;0;2;1;23.0;2;1;11.5;2
531;1;2;0;2.0;1;1;26.0;2
533;0;3;1;17.0;1;1;7.2292;0
535;0;3;0;30.0;0;0;8.6625;2
536;1;2;0;7.0;0;2;26.25;2
537;0;1;1;45.0;0;0;26.55;2
538;1;1;0;30.0;0;0;106.425;0
540;1;1;0;22.0;0;2;49.5;0
541;1;1;0;36.0;0;2;71.0;2
542;0;3;0;9.0;4;2;31.275;2
543;0;3;0;11.0;4;2;31.275;2
544;1;2;1;32.0;1;0;26.0;2
545;0;1;1;50.0;1;0;106.425;0
546;0;1;1;64.0;0;0;26.0;2
547;1;2;0;19.0;1;0;26.0;2
549;0;3;1;33.0;1;1;20.525;2
550;1;2;1;8.0;1;1;36.75;2
551;1;1;1;17.0;0;2;110.8833;0
552;0;2;1;27.0;0;0;26.0;2
554;1;3;1;22.0;0;0;7.225;0
555;1;3;0;22.0;0;0;7.775;2
556;0;1;1;62.0;0;0;26.55;2
557;1;1;0;48.0;1;0;39.6;0
559;1;1;0;39.0;1;1;79.65;2
560;1;3;0;36.0;1;0;17.4;2
562;0;3;1;40.0;0;0;7.8958;2
563;0;2;1;28.0;0;0;13.5;2
566;0;3;1;24.0;2;0;24.15;2
567;0;3;1;19.0;0;0;7.8958;2
568;0;3;0;29.0;0;4;21.075;2
570;1;3;1;32.0;0;0;7.8542;2
571;1;2;1;62.0;0;0;10.5;2
572;1;1;0;53.0;2;0;51.4792;2
573;1;1;1;36.0;0;0;26.3875;2
575;0;3;1;16.0;0;0;8.05;2
576;0;3;1;19.0;0;0;14.5;2
577;1;2;0;34.0;0;0;13.0;2
578;1;1;0;39.0;1;0;55.9;2
580;1;3;1;32.0;0;0;7.925;2
581;1;2;0;25.0;1;1;30.0;2
582;1;1;0;39.0;1;1;110.8833;0
583;0;2;1;54.0;0;0;26.0;2
584;0;1;1;36.0;0;0;40.125;0
586;1;1;0;18.0;0;2;79.65;2
587;0;2;1;47.0;0;0;15.0;2
588;1;1;1;60.0;1;1;79.2;0
589;0;3;1;22.0;0;0;8.05;2
591;0;3;1;35.0;0;0;7.125;2
592;1;1;0;52.0;1;0;78.2667;0
593;0;3;1;47.0;0;0;7.25;2
595;0;2;1;37.0;1;0;26.0;2
596;0;3;1;36.0;1;1;24.15;2
598;0;3;1;49.0;0;0;0.0;2
600;1;1;1;49.0;1;0;56.9292;0
601;1;2;0;24.0;2;1;27.0;2
604;0;3;1;44.0;0;0;8.05;2
605;1;1;1;35.0;0;0;26.55;0
606;0;3;1;36.0;1;0;15.55;2
607;0;3;1;30.0;0;0;7.8958;2
608;1;1;1;27.0;0;0;30.5;2
609;1;2;0;22.0;1;2;41.5792;0
610;1;1;0;40.0;0;0;153.4625;2
611;0;3;0;39.0;1;5;31.275;2
615;0;3;1;35.0;0;0;8.05;2
616;1;2;0;24.0;1;2;65.0;2
617;0;3;1;34.0;1;1;14.4;2
618;0;3;0;26.0;1;0;16.1;2
619;1;2;0;4.0;2;1;39.0;2
620;0;2;1;26.0;0;0;10.5;2
621;0;3;1;27.0;1;0;14.4542;0
622;1;1;1;42.0;1;0;52.5542;2
623;1;3;1;20.0;1;1;15.7417;0
624;0;3;1;21.0;0;0;7.8542;2
625;0;3;1;21.0;0;0;16.1;2
626;0;1;1;61.0;0;0;32.3208;2
627;0;2;1;57.0;0;0;12.35;1
628;1;1;0;21.0;0;0;77.9583;2
629;0;3;1;26.0;0;0;7.8958;2
631;1;1;1;80.0;0;0;30.0;2
632;0;3;1;51.0;0;0;7.0542;2
633;1;1;1;32.0;0;0;30.5;0
635;0;3;0;9.0;3;2;27.9;2
636;1;2;0;28.0;0;0;13.0;2
637;0;3;1;32.0;0;0;7.925;2
638;0;2;1;31.0;1;1;26.25;2
639;0;3;0;41.0;0;5;39.6875;2
641;0;3;1;20.0;0;0;7.8542;2
642;1;1;0;24.0;0;0;69.3;0
643;0;3;0;2.0;3;2;27.9;2
645;1;3;0;0.75;2;1;19.2583;0
646;1;1;1;48.0;1;0;76.7292;0
647;0;3;1;19.0;0;0;7.8958;2
648;1;1;1;56.0;0;0;35.5;0
650;1;3;0;23.0;0;0;7.55;2
652;1;2;0;18.0;0;1;23.0;2
653;0;3;1;21.0;0;0;8.4333;2
655;0;3;0;18.0;0;0;6.75;1
656;0;2;1;24.0;2;0;73.5;2
658;0;3;0;32.0;1;1;15.5;1
659;0;2;1;23.0;0;0;13.0;2
660;0;1;1;58.0;0;2;113.275;0
661;1;1;1;50.0;2;0;133.65;2
662;0;3;1;40.0;0;0;7.225;0
663;0;1;1;47.0;0;0;25.5875;2
664;0;3;1;36.0;0;0;7.4958;2
665;1;3;1;20.0;1;0;7.925;2
666;0;2;1;32.0;2;0;73.5;2
667;0;2;1;25.0;0;0;13.0;2
669;0;3;1;43.0;0;0;8.05;2
671;1;2;0;40.0;1;1;39.0;2
672;0;1;1;31.0;1;0;52.0;2
673;0;2;1;70.0;0;0;10.5;2
674;1;2;1;31.0;0;0;13.0;2
676;0;3;1;18.0;0;0;7.775;2
677;0;3;1;24.5;0;0;8.05;2
678;1;3;0;18.0;0;0;9.8417;2
679;0;3;0;43.0;1;6;46.9;2
680;1;1;1;36.0;0;1;512.3292;0
682;1;1;1;27.0;0;0;76.7292;0
683;0;3;1;20.0;0;0;9.225;2
684;0;3;1;14.0;5;2;46.9;2
685;0;2;1;60.0;1;1;39.0;2
686;0;2;1;25.0;1;2;41.5792;0
687;0;3;1;14.0;4;1;39.6875;2
688;0;3;1;19.0;0;0;10.1708;2
689;0;3;1;18.0;0;0;7.7958;2
690;1;1;0;15.0;0;1;211.3375;2
691;1;1;1;31.0;1;0;57.0;2
692;1;3;0;4.0;0;1;13.4167;0
694;0;3;1;25.0;0;0;7.225;0
695;0;1;1;60.0;0;0;26.55;2
696;0;2;1;52.0;0;0;13.5;2
697;0;3;1;44.0;0;0;8.05;2
699;0;1;1;49.0;1;1;110.8833;0
700;0;3;1;42.0;0;0;7.65;2
701;1;1;0;18.0;1;0;227.525;0
702;1;1;1;35.0;0;0;26.2875;2
703;0;3;0;18.0;0;1;14.4542;0
704;0;3;1;25.0;0;0;7.7417;1
705;0;3;1;26.0;1;0;7.8542;2
706;0;2;1;39.0;0;0;26.0;2
707;1;2;0;45.0;0;0;13.5;2
708;1;1;1;42.0;0;0;26.2875;2
709;1;1;0;22.0;0;0;151.55;2
711;1;1;0;24.0;0;0;49.5042;0
713;1;1;1;48.0;1;0;52.0;2
714;0;3;1;29.0;0;0;9.4833;2
715;0;2;1;52.0;0;0;13.0;2
716;0;3;1;19.0;0;0;7.65;2
717;1;1;0;38.0;0;0;227.525;0
718;1;2;0;27.0;0;0;10.5;2
720;0;3;1;33.0;0;0;7.775;2
721;1;2;0;6.0;0;1;33.0;2
722;0;3;1;17.0;1;0;7.0542;2
723;0;2;1;34.0;0;0;13.0;2
724;0;2;1;50.0;0;0;13.0;2
725;1;1;1;27.0;1;0;53.1;2
726;0;3;1;20.0;0;0;8.6625;2
727;1;2;0;30.0;3;0;21.0;2
729;0;2;1;25.0;1;0;26.0;2
730;0;3;0;25.0;1;0;7.925;2
731;1;1;0;29.0;0;0;211.3375;2
732;0;3;1;11.0;0;0;18.7875;0
734;0;2;1;23.0;0;0;13.0;2
735;0;2;1;23.0;0;0;13.0;2
736;0;3;1;28.5;0;0;16.1;2
737;0;3;0;48.0;1;3;34.375;2
738;1;1;1;35.0;0;0;512.3292;0
742;0;1;1;36.0;1;0;78.85;2
743;1;1;0;21.0;2;2;262.375;0
744;0;3;1;24.0;1;0;16.1;2
745;1;3;1;31.0;0;0;7.925;2
746;0;1;1;70.0;1;1;71.0;2
747;0;3;1;16.0;1;1;20.25;2
748;1;2;0;30.0;0;0;13.0;2
749;0;1;1;19.0;1;0;53.1;2
750;0;3;1;31.0;0;0;7.75;1
751;1;2;0;4.0;1;1;23.0;2
752;1;3;1;6.0;0;1;12.475;2
753;0;3;1;33.0;0;0;9.5;2
754;0;3;1;23.0;0;0;7.8958;2
755;1;2;0;48.0;1;2;65.0;2
756;1;2;1;0.67;1;1;14.5;2
757;0;3;1;28.0;0;0;7.7958;2
758;0;2;1;18.0;0;0;11.5;2
759;0;3;1;34.0;0;0;8.05;2
760;1;1;0;33.0;0;0;86.5;2
762;0;3;1;41.0;0;0;7.125;2
763;1;3;1;20.0;0;0;7.2292;0
764;1;1;0;36.0;1;2;120.0;2
765;0;3;1;16.0;0;0;7.775;2
766;1;1;0;51.0;1;0;77.9583;2
768;0;3;0;30.5;0;0;7.75;1
770;0;3;1;32.0;0;0;8.3625;2
771;0;3;1;24.0;0;0;9.5;2
772;0;3;1;48.0;0;0;7.8542;2
773;0;2;0;57.0;0;0;10.5;2
775;1;2;0;54.0;1;3;23.0;2
776;0;3;1;18.0;0;0;7.75;2
778;1;3;0;5.0;0;0;12.475;2
780;1;1;0;43.0;0;1;211.3375;2
781;1;3;0;13.0;0;0;7.2292;0
782;1;1;0;17.0;1;0;57.0;2
783;0;1;1;29.0;0;0;30.0;2
785;0;3;1;25.0;0;0;7.05;2
